text,user_id,topic,source,timestamp
"amma cheyyi biryani taste chala baagundi, miss unndi naenu",user_043,food,twitter,2024-01-01
"health checkup chesanu, doctor said bagundi undi all",user_034,health,twitter,2024-02-14
"Hotel Shadab lo pesarattu best unndi, price also reasonable",user_068,food,instagram,2024-02-21
"app update release ayyindi, bugs fix ayyai",user_006,technology,twitter,2024-05-30
"lunch lo dosa tinna, chalaa santhosam naenu",user_011,food,telegram,2024-04-12
"pharmacy l0 treatment chesaru, chalaaa manchi doctors",user_037,health,instagram,2024-02-17
"hero introduction scene chaala manchii, whistle vesamu",user_063,movies,facebook,2024-06-06
"Allu Arjun dialogue delivery chalaa bagundi, goosebumps vachindi",user_034,movies,twitter,2024-04-22
"idli recipe try chesanu, chaala easy ga undhi",user_100,food,twitter,2024-03-18
"IPL finals eeroju chudali, chalaa excited nEnu",user_038,cricket,telegram,2024-01-31
"cooking chesanu today, roti curry chalaaa tasty ayyindi",user_029,food,facebook,2024-04-07
"idli chalaaa baagundi, Chutneys loo tinnali vellaali manam",user_076,food,instagram,2024-03-18
"library loo study chesanu, peaceful ga unndi",user_019,education,telegram,2024-05-08
"restaurant lo pesarattu order chesanu, taste chalaa manchi ga",user_042,food,twitter,2024-05-20
"MP MLA constituency development chesadu, chaala manchi",user_095,politics,twitter,2024-06-04
"health checkup chesanu, doctor said baagundi undi all",user_005,health,telegram,2024-06-23
"Samsung vs Realme comparison chudali, which better unndi",user_095,technology,twitter,2024-01-14
"friends too outing ki velali repuu, excited nenu",user_062,general,instagram,2024-05-05
"cricket match bagundhi undhi yaar, MI vs PBKS epic ga unndi",user_010,cricket,twitter,2024-04-24
"pulihora chaala bagundi, Chutneys lo tinali velali manam",user_015,food,facebook,2024-02-14
"cricket match bagundhi undi yaar, DC vs MI epic ga undhi",user_013,cricket,twitter,2024-03-24
"music listen chesanu, anipstundi manchi ippude",user_004,general,telegram,2024-05-26
"budget announce chesindi, tax changes ledhuu bagundhi",user_067,politics,twitter,2024-05-07
"KL Rahul century kottadu, chalaa manchi performance",user_059,cricket,instagram,2024-01-12
"interval block chalaaa thrilling, Devara hit avutundi anipistundi",user_062,movies,youtube,2024-06-01
"amma cheyyi pulihora taste chala bagundhi, miss undhi nEnu",user_044,food,instagram,2024-03-29
"coding project complete chesanu, chalaa santhosham nenu",user_013,technology,telegram,2024-06-15
"amma cheyyi biryani taste chala bagundi, miss unndi nenu",user_011,food,twitter,2024-04-04
"MP MP constituency development chesadu, chaala manchi",user_012,politics,twitter,2024-04-12
YSRCP vs BJP debate chaala intense ga unndi,user_012,politics,instagram,2024-01-02
"budget announce chesindi, tax changes ledhuu baagundi",user_013,politics,youtube,2024-01-13
"nenu new book reading chesanu, chaala interesting unndi",user_080,general,twitter,2024-02-11
"tuition at maths nerchukunna, concept clear ayyindi",user_017,education,telegram,2024-05-30
"cricket unndi chalaaa interesting, MI vs CSK ee weekend",user_059,cricket,twitter,2024-03-21
"computer science paper chalaaa easy ga undi, confident ga rasanu",user_098,education,twitter,2024-03-30
"ticket book chesanu Devara kosaam, chala excited",user_024,movies,telegram,2024-03-15
"ott release repu Guntur Kaaram, mnam choodali together inlo l0",user_001,movies,twitter,2024-02-22
"election campaign start ayyindi, manam vote koosam AAP",user_093,politics,twitter,2024-05-19
"cricket undi chala interesting, MI vs CSK ee weekend",user_087,cricket,facebook,2024-01-28
"CM speech baagundi ledu, promises only chestunnadu",user_013,politics,twitter,2024-03-15
"ott release repu Kalki, mnam choodali together intlo loo",user_112,movies,twitter,2024-06-16
"food delivery order chesanu, idli ravali kosaam waiting undi nenu",user_033,food,linkedin,2024-06-01
"tech conference eeroju, Python talk chala manchii",user_004,technology,twitter,2024-06-14
CSK win chesindi bro! celebration time undhi,user_009,cricket,telegram,2024-02-19
"MLA speech bagundi ledu, promises only chestunnadu",user_084,politics,facebook,2024-01-27
"app crash avutundi, fix how telsu ledu nEnu",user_004,technology,youtube,2024-05-25
"tech conference eeroju, AI talk chala manchii",user_011,technology,instagram,2024-04-26
"ee week chaala busy ga undi, tired anipistundi naenu",user_034,general,facebook,2024-02-02
"traffic chaala ekkuva eeroju, office late ayyanu",user_009,general,instagram,2024-02-13
"online class l0 app nerchukunna, chaala useful",user_125,technology,instagram,2024-04-23
"data science course join chesanu, chalaaa useful undhi",user_031,technology,twitter,2024-02-16
"Devara movie chalaaa bagundhi, Allu Arjun acting super unndi",user_011,movies,facebook,2024-03-21
"OnePlus vs Realme comparison chuudali, which better undi",user_079,technology,facebook,2024-04-20
"election campaign start ayyindi, manamu vote kosaam BRS",user_002,politics,twitter,2024-05-16
"cooking chesanu today, roti curry chalaaa tasty ayyindi",user_109,food,twitter,2024-05-27
"NTR dialogue delivery chalaaa baagundi, goosebumps vachindi",user_055,movies,twitter,2024-01-07
"online class l0 AI nerchukunna, chalaaa useful",user_009,technology,instagram,2024-03-20
"new policy announce chesindi, citizens anipstundi santhosham",user_087,politics,twitter,2024-01-28
"cricket match baagundi undhi yaar, SRH vs RCB epic ga unndi",user_010,cricket,twitter,2024-03-29
"OnePlus vs OnePlus comparison choodali, which better undi",user_013,technology,twitter,2024-05-11
"politics loo corruption chalaaa ekkuva undi, change kavali",user_019,politics,instagram,2024-04-15
"ott release repu HanuMan, manamu chuudali together intlo l0",user_068,movies,twitter,2024-04-12
"data science update release ayyindi, bugs fix ayyai",user_055,technology,twitter,2024-02-01
"health checkup chesanu, doctor said baagundi undi all",user_037,health,twitter,2024-06-14
"fever undhi nenu, doctor at vellali eeroju",user_018,health,twitter,2024-01-20
"cricket match baagundi undi yaar, RCB vs SRH epic ga undi",user_140,cricket,instagram,2024-04-18
"diet follow chesanu, weight reduce avutundi slowly",user_099,health,linkedin,2024-02-19
"Sunday special pesarattu chestanu, family all ishtham",user_033,food,facebook,2024-01-18
"ticket book chesanu Kalki kosam, chaala excited",user_105,movies,youtube,2024-06-25
"10th board result repuu vastundi, nervous ga unndi naenu",user_064,education,instagram,2024-01-14
"drinking water chala ekkuva unndi, health improve avutundi",user_050,health,instagram,2024-02-26
"food delivery order chesanu, pulihora ravaali kosam waiting undi nenu",user_011,food,facebook,2024-05-25
"MLA speech bagundhi ledu, promises only chestunnadu",user_092,politics,twitter,2024-06-14
"friends thoo outing ki vellaali repuu, excited nenu",user_009,general,instagram,2024-03-26
"ChatGPT chaala interesting, learn kavali nenu",user_143,technology,instagram,2024-06-10
AAP vs BRS debate chalaaa intense ga unndi,user_007,politics,instagram,2024-04-22
match chudali ante manamu velali stadium ku,user_010,cricket,youtube,2024-05-12
"music listen chesanu, anipistuntundi manchi ippudu",user_011,general,twitter,2024-06-20
"online class l0 laptop nerchukunna, chalaaa useful",user_092,technology,instagram,2024-02-20
"new Google Pixel launch ayyindi, features chala manchi ga",user_136,technology,facebook,2024-04-10
"IPL finals ee roju chudali, chala excited nEnu",user_040,cricket,twitter,2024-05-21
"BJP government new scheme announce chesindi, manchi ga undi",user_089,politics,instagram,2024-04-07
"budget announce chesindi, tax changes ledhu bagundi",user_004,politics,twitter,2024-01-10
"exam hall ticket download chesanu, ready undhi nenu",user_001,education,twitter,2024-05-15
"last over chala thrilling ga undi, DC won by 2 runs",user_036,cricket,twitter,2024-06-14
"college lo assignment submit chesanu, baga ippude",user_005,education,twitter,2024-02-15
"friends too outing ki velali repuu, excited naenu",user_035,general,twitter,2024-01-10
"laptop chalaaa interesting, learn kavali nEnu",user_012,technology,twitter,2024-04-08
"ee roju chalaa baagundi ga unndi, santhosam nEnu",user_051,general,facebook,2024-04-12
"software panni at naenu, laptop use unndi",user_077,technology,twitter,2024-05-12
"interval block chalaaa thrilling, Guntur Kaaram hit avutundi anipistundi",user_128,movies,twitter,2024-01-06
"semester results manchi, family santosham unndi",user_008,education,instagram,2024-03-27
"Python update release ayyindi, bugs fix ayyai",user_035,technology,facebook,2024-04-02
"ee week chaala busy ga unndi, tired anipistuntundi naenu",user_047,general,twitter,2024-02-08
India win chesindi bro! celebration time undi,user_013,cricket,instagram,2024-06-21
"cricket match baagundi undi yaar, MI vs SRH epic ga undhi",user_085,cricket,twitter,2024-04-10
"morning walk vellali naenu, fresh ga anipistuntundi chesanu",user_040,general,twitter,2024-01-25
"restaurant lo pesarattu order chesanu, taste chala manchii",user_003,food,facebook,2024-01-28
"new policy announce chesindi, citizens anipstundi santhosham",user_008,politics,telegram,2024-02-05
"app crash avutundi, fix how telsu ledhu naenu",user_074,technology,twitter,2024-02-25
TDP vs BJP debate chalaa intense ga unndi,user_019,politics,youtube,2024-02-27
"online class lo mobile nerchukunna, chala useful",user_032,technology,facebook,2024-02-23
"Vijay Deverakonda performance chalaa manchii, fans happy unnaru",user_029,movies,facebook,2024-01-23
"food delivery order chesanu, dosa ravali kosaam waiting undi nenu",user_001,food,twitter,2024-04-17
"budget announce chesindi, tax changes ledhuu baagundi",user_008,politics,twitter,2024-05-11
"Salaar movie chalaa bagundhi, Prabhas acting super unndi",user_001,movies,instagram,2024-04-17
"politics l0 corruption chala ekkuva unndi, change kavali",user_034,politics,youtube,2024-03-02
"politics loo corruption chala ekkuva undi, change kaavali",user_012,politics,instagram,2024-06-21
"restaurant lo roti curry order chesanu, taste chalaaa manchi ga",user_052,food,twitter,2024-03-23
"online class loo data science nerchukunna, chalaa useful",user_010,technology,instagram,2024-03-10
"shopping ki vellaali repuu, new clothes kavalli nEnu",user_051,general,facebook,2024-03-21
"political rally l0 crowd chaala ekkuva, speech inspiring undi",user_008,politics,facebook,2024-01-23
"tech conference ee rooju, laptop talk chala manchi ga",user_066,technology,instagram,2024-06-18
"Ram Charan dialogue delivery chaala baagundi, goosebumps vachindi",user_013,movies,facebook,2024-06-24
"Hardik century kottadu, chala manchi performance",user_033,cricket,youtube,2024-03-16
"last over chaala thrilling ga undi, RCB won by 2 runs",user_039,cricket,facebook,2024-05-11
"weekend plans emi unndi, suggest cheyyandi",user_071,general,twitter,2024-02-23
"team selection baagundi ledu, Bumrah ledhuu select chesaru",user_040,cricket,youtube,2024-06-19
"ee roju chala bagundhi ga unndi, santosham nenu",user_006,general,instagram,2024-01-05
"interval block chala thrilling, Devara hit avutundi anipistundi",user_001,movies,twitter,2024-04-13
"Virat century kottadu, chalaa manchii performance",user_072,cricket,linkedin,2024-06-23
"data science course join chesanu, chalaa useful unndi",user_013,technology,telegram,2024-05-24
"Apollo loo treatment chesaru, chalaa manchii doctors",user_068,health,facebook,2024-05-14
"social media chala time waste, limit cheyyali",user_035,general,instagram,2024-04-06
"movie review: Dragon story bagundhi, visuals chala manchi",user_077,movies,instagram,2024-02-15
"ee week chala busy ga undi, tired anipstundi nenu",user_004,general,instagram,2024-06-17
"weekend intlo rest, chalaa santhosham naenu",user_014,general,twitter,2024-02-02
"IPL season start ayyindi, chaala excited ga baga naenu",user_079,cricket,instagram,2024-06-08
"shopping ki vellaali repuu, new clothes kavalli nEnu",user_004,general,twitter,2024-03-19
"YSRCP government new scheme announce chesindi, manchi ga unndi",user_092,politics,instagram,2024-06-10
"data science course join chesanu, chalaaa useful undi",user_016,technology,youtube,2024-01-03
"restaurant lo pesarattu order chesanu, taste chala manchi",user_100,food,twitter,2024-05-13
"AI chaala interesting, learn kavalli nEnu",user_031,technology,facebook,2024-02-16
"online class lo app nerchukunna, chalaaa useful",user_033,technology,instagram,2024-03-27
"Virat century kottadu, chaala manchi performance",user_017,cricket,twitter,2024-01-02
"MP MP constituency development chesadu, chaala manchii",user_013,politics,instagram,2024-05-26
"Virat century kottadu, chalaaa manchii performance",user_017,cricket,facebook,2024-02-19
"weekend plans emi undhi, suggest cheyyandi",user_014,general,youtube,2024-06-12
"app crash avutundi, fix how telusu ledhu naenu",user_056,technology,instagram,2024-01-24
"movie review: Dragon story bagundhi, visuals chalaaa manchi",user_001,movies,youtube,2024-03-25
"software paani at nenu, data science use undi",user_022,technology,twitter,2024-01-24
"morning walk vellali nenu, fresh ga anipstundi chesanu",user_034,general,twitter,2024-04-01
"restaurant lo roti curry order chesanu, taste chalaa manchi",user_077,food,facebook,2024-01-02
"cricket match bagundhi undi yaar, India vs DC epic ga undhi",user_005,cricket,twitter,2024-01-25
"Allu Arjun performance chalaa manchi ga, fans happy unnaaru",user_011,movies,twitter,2024-05-17
"coding project complete chesanu, chalaa santhosam naenu",user_148,technology,instagram,2024-06-27
"election results repu vastunnai, vote chesara nuvvuu",user_096,politics,linkedin,2024-02-11
"yoga start chesanu, stress chalaaa reduce ayyindi",user_071,health,youtube,2024-03-07
"shopping ki vellali repu, new clothes kaavali nenu",user_014,general,twitter,2024-05-07
"restaurant lo pesarattu order chesanu, taste chalaa manchii",user_038,food,linkedin,2024-03-12
"new year resolution follow chesanu, manchi progress",user_034,general,instagram,2024-04-25
"OnePlus vs Google Pixel comparison chudali, which better undi",user_027,technology,twitter,2024-06-06
"friends too group study chesamu, chalaa helpful undi",user_092,education,instagram,2024-06-21
"physics paper chala easy ga undi, confident ga rasanu",user_005,education,twitter,2024-02-28
"friends thoo group study chesamu, chalaaa helpful unndi",user_048,education,twitter,2024-02-27
"headache undi nEnu, doctor at vellali eeroju",user_099,health,linkedin,2024-05-10
"iPhone vs OnePlus comparison chuudali, which better unndi",user_001,technology,facebook,2024-02-03
"hero introduction scene chalaa manchi, whistle vesamu",user_052,movies,instagram,2024-05-19
"OnePlus vs Google Pixel comparison choodali, which better unndi",user_120,technology,youtube,2024-02-06
"food delivery order chesanu, idli ravaali koosam waiting undhi naenu",user_043,food,facebook,2024-06-10
"Salaar bgm chalaaa baagundi, oka sari vintanu",user_011,movies,telegram,2024-05-13
"tech conference eeroju, data science talk chalaaa manchi",user_032,technology,twitter,2024-01-11
"KL Rahul century kottadu, chaala manchi ga performance",user_026,cricket,youtube,2024-01-17
"family trip plan chesamu, chalaa excited everyone",user_110,general,instagram,2024-06-25
"Vijay Deverakonda performance chala manchi ga, fans happy unnaaru",user_051,movies,twitter,2024-02-27
"Bumrah batting chaala bagundi, fan unndi nEnu",user_030,cricket,instagram,2024-02-20
"exam hall ticket download chesanu, ready undhi naenu",user_111,education,twitter,2024-04-13
"morning walk vellaali naenu, fresh ga anipistundi chesanu",user_002,general,instagram,2024-06-28
"morning walk vellali nEnu, fresh ga anipistuntundi chesanu",user_014,general,telegram,2024-03-23
"medicine teesukuntunna, anipistundi manchi ippudu",user_138,health,youtube,2024-03-24
"last over chala thrilling ga undi, DC won by 2 runs",user_005,cricket,twitter,2024-06-24
"interval block chalaa thrilling, Pushpa 2 hit avutundi anipistundi",user_015,movies,twitter,2024-06-29
"pharmacy lo appointment fix chesanu, waiting undhi nEnu",user_037,health,twitter,2024-01-10
"food delivery order chesanu, pesarattu ravali koosam waiting unndi nenu",user_001,food,telegram,2024-01-23
"coding project complete chesanu, chalaaa santhosam naenu",user_033,technology,instagram,2024-06-14
"weekend intlo rest, chalaa santhosam nenu",user_010,general,facebook,2024-03-10
"semester results manchi, family santhosham unndi",user_058,education,linkedin,2024-05-08
"social media chala time waste, limit cheyyali",user_013,general,linkedin,2024-03-02
"new Samsung launch ayyindi, features chalaaa manchi ga",user_078,technology,youtube,2024-01-15
"Bumrah century kottadu, chalaaa manchi performance",user_092,cricket,twitter,2024-06-26
"Sunday special pulihora chestanu, family all istam",user_046,food,facebook,2024-04-13
"ticket book chesanu Pushpa 2 koosam, chaala excited",user_019,movies,instagram,2024-01-18
"study chesanu computer science kosaam, chalaaa difficult undi",user_068,education,instagram,2024-03-17
"restaurant lo roti curry order chesanu, taste chalaa manchi ga",user_103,food,instagram,2024-05-06
"AIIMS Hyderabad lo treatment chesaru, chaala manchi doctors",user_005,health,facebook,2024-05-15
"data science course join chesanu, chalaaa useful undhi",user_027,technology,youtube,2024-05-13
"shopping ki vellaali rrepu, new clothes kavali nEnu",user_013,general,facebook,2024-01-25
"software pani at naenu, mobile use undhi",user_015,technology,youtube,2024-02-10
"drinking water chala ekkuva undhi, health improve avutundi",user_073,health,instagram,2024-02-10
"cooking chesanu today, roti curry chala tasty ayyindi",user_044,food,twitter,2024-02-10
"cricket undhi chalaa interesting, MI vs PBKS ee weekend",user_140,cricket,twitter,2024-05-09
"software paani at nenu, data science use undi",user_012,technology,telegram,2024-05-06
"ee roju chala bagundhi ga undhi, santosham nenu",user_047,general,instagram,2024-02-22
"lunch l0 gongura chicken tinna, chala santhosham naenu",user_027,food,facebook,2024-02-16
"app crash avutundi, fix how telsu ledhuu naenu",user_095,technology,twitter,2024-05-05
"exam hall ticket download chesanu, ready undhi nEnu",user_075,education,facebook,2024-06-09
"app crash avutundi, fix how telusuu ledhu naenu",user_009,technology,instagram,2024-01-21
"pesarattu chaala bagundhi, Bawarchi l0 tinali vellali manam",user_051,food,facebook,2024-04-10
"Ram Charan dialogue delivery chaala bagundhi, goosebumps vachindi",user_020,movies,instagram,2024-01-23
"Devara bgm chaala baagundi, oka sari vintanu",user_024,movies,linkedin,2024-03-04
"weekend plans emi undhi, suggest cheyyandi",user_055,general,youtube,2024-06-23
SRH win chesindi bro! celebration time undhi,user_036,cricket,youtube,2024-05-10
"HanuMan movie chalaa bagundhi, Ram Charan acting super undhi",user_025,movies,twitter,2024-01-02
"IPL season start ayyindi, chalaa excited ga baaga nenu",user_009,cricket,facebook,2024-04-06
"medicine teesukuntunna, anipstundi manchii ippude",user_018,health,linkedin,2024-02-29
"new OnePlus launch ayyindi, features chala manchii",user_117,technology,twitter,2024-06-19
"new Samsung launch ayyindi, features chalaa manchi ga",user_012,technology,twitter,2024-03-21
"cooking chesanu today, pesarattu chalaa tasty ayyindi",user_100,food,twitter,2024-06-06
"new policy announce chesindi, citizens anipistundi santosham",user_009,politics,twitter,2024-04-01
DC win chesindi bro! celebration time unndi,user_014,cricket,facebook,2024-05-04
"restaurant lo pesarattu order chesanu, taste chalaa manchi ga",user_110,food,whatsapp,2024-05-04
"Kalki movie chala bagundhi, NTR acting super undi",user_003,movies,youtube,2024-03-09
"OnePlus vs OnePlus comparison chuudali, which better undhi",user_010,technology,instagram,2024-06-03
"Samsung vs iPhone comparison chudali, which better unndi",user_011,technology,instagram,2024-06-09
"meditation start chesanu, mind chalaaa peaceful ga undhi",user_007,general,youtube,2024-04-20
"inter exams exams ravaali unnaru, chaala stress ga unndi naenu",user_137,education,twitter,2024-06-07
"new policy announce chesindi, citizens anipistuntundi santosham",user_019,politics,twitter,2024-03-20
"yoga start chesanu, stress chala reduce ayyindi",user_021,health,twitter,2024-01-23
"biology paper chalaa easy ga unndi, confident ga rasanu",user_113,education,facebook,2024-02-24
"KL Rahul batting chala baagundi, fan unndi naenu",user_061,cricket,facebook,2024-03-30
"diet follow chesanu, weight reduce avutundi slowly",user_050,health,telegram,2024-02-14
"pharmacy lo appointment fix chesanu, waiting undi nenu",user_008,health,youtube,2024-04-14
"iPhone vs Samsung comparison choodali, which better unndi",user_084,technology,linkedin,2024-01-16
"IPL finals eeroju chudali, chaala excited nenu",user_014,cricket,twitter,2024-02-28
"library loo study chesanu, peaceful ga unndi",user_089,education,whatsapp,2024-05-25
"medicine teesukuntunna, anipistundi manchi ga ippudu",user_037,health,whatsapp,2024-02-12
"lunch loo pesarattu tinna, chalaa santhosam naenu",user_110,food,facebook,2024-05-28
"Paradise new branch open ayyindi, eeroju try chedam",user_011,food,twitter,2024-03-06
"MP speech bagundi ledu, promises only chestunnadu",user_010,politics,twitter,2024-04-06
"tech conference eeroju, app talk chala manchii",user_125,technology,instagram,2024-04-11
"diet follow chesanu, weight reduce avutundi slowly",user_057,health,twitter,2024-02-22
"cricket undhi chalaaa interesting, DC vs CSK ee weekend",user_040,cricket,instagram,2024-03-18
"morning walk vellaali nenu, fresh ga anipstundi chesanu",user_054,general,telegram,2024-04-28
"OnePlus vs iPhone comparison chudali, which better undi",user_078,technology,twitter,2024-03-11
"tech conference ee roju, ChatGPT talk chalaa manchi ga",user_004,technology,twitter,2024-04-16
"data science course join chesanu, chalaaa useful undi",user_029,technology,twitter,2024-01-06
match chudali ante manam vellaali stadium ki,user_014,cricket,instagram,2024-04-09
"cooking chesanu today, gongura chicken chala tasty ayyindi",user_053,food,instagram,2024-05-07
"hero introduction scene chalaaa manchii, whistle vesamu",user_032,movies,linkedin,2024-05-01
"election results repuu vastunnai, vote chesara nuvu",user_002,politics,facebook,2024-04-22
"fever chalaa ekkuva undi, rest teesukuntunna",user_037,health,youtube,2024-02-17
"food delivery order chesanu, biryani raaavaali kosam waiting undhi nEnu",user_003,food,instagram,2024-06-10
"cricket match bagundi undhi yaar, CSK vs India epic ga undi",user_013,cricket,facebook,2024-01-04
"study chesanu physics kosam, chalaa difficult undhi",user_099,education,linkedin,2024-06-18
BJP vs TDP debate chaala intense ga undhi,user_020,politics,twitter,2024-01-04
"IPL finals ee roju chudali, chalaa excited nenu",user_046,cricket,instagram,2024-06-27
"amma cheyyi idli taste chaala bagundhi, miss unndi nEnu",user_008,food,twitter,2024-03-04
"cooking chesanu today, dosa chalaaa tasty ayyindi",user_040,food,facebook,2024-06-18
"OnePlus vs OnePlus comparison chudali, which better unndi",user_021,technology,twitter,2024-03-14
"team selection bagundhi ledu, Hardik ledu select chesaru",user_026,cricket,facebook,2024-03-25
"Hardik batting chalaaa baagundi, fan undi nEnu",user_013,cricket,instagram,2024-03-09
"amma cheyyi pesarattu taste chalaaa baagundi, miss undhi naenu",user_076,food,twitter,2024-06-22
"election results repu vastunnai, vote chesara nuvu",user_019,politics,twitter,2024-01-19
"food delivery order chesanu, pulihora ravaali kosam waiting undi nEnu",user_042,food,twitter,2024-03-10
"iPhone vs OnePlus comparison chudali, which better unndi",user_032,technology,instagram,2024-03-01
"weekend intloo rest, chalaa santosham naenu",user_020,general,youtube,2024-04-22
"budget announce chesindi, tax changes ledhuu bagundhi",user_036,politics,facebook,2024-01-02
"shopping ki vellaali rrepu, new clothes kavalli nEnu",user_034,general,instagram,2024-04-27
"SSC result rrepu vastundi, nervous ga undi nEnu",user_041,education,youtube,2024-06-11
"weekend inlo rest, chala santhosam nEnu",user_001,general,twitter,2024-02-22
"interval block chaala thrilling, Pushpa 2 hit avutundi anipistundi",user_028,movies,twitter,2024-06-24
"fever unndi nenu, doctor at velali ee rooju",user_050,health,youtube,2024-03-13
"Jadeja batting chalaa bagundhi, fan undi naenu",user_024,cricket,youtube,2024-01-14
"exam hall ticket download chesanu, ready undhi nenu",user_001,education,instagram,2024-02-05
"Allu Arjun dialogue delivery chalaaa baagundi, goosebumps vachindi",user_029,movies,instagram,2024-02-04
"Sunday special roti curry chestanu, family all ishtam",user_008,food,instagram,2024-04-13
"restaurant lo idli order chesanu, taste chaala manchi ga",user_003,food,telegram,2024-06-27
"Hardik batting chala baagundi, fan unndi naenu",user_096,cricket,facebook,2024-01-26
"morning walk velali nenu, fresh ga anipstundi chesanu",user_020,general,youtube,2024-04-27
